No.,Time,Source,Destination,Protocol,Length,Info,source_file,predicted_label
1921,3.807846,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1823722 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1922,3.807854,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1825174 Win=2102272 Len=0,test_loic.csv,normal
1923,3.807902,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1825174 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926]",test_loic.csv,normal
1924,3.808916,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1826626 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1925,3.80893,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1828078 Win=2102272 Len=0,test_loic.csv,normal
1926,3.808938,185.188.41.131,192.168.1.192,TLSv1.3,1506,Application Data,test_loic.csv,normal
1927,3.808946,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1829530 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942]",test_loic.csv,normal
1928,3.808956,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1830982 Win=2102272 Len=0,test_loic.csv,normal
1929,3.809062,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1830982 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1930,3.810063,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1832434 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1931,3.810063,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1833886 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1932,3.81009,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1835338 Win=2102272 Len=0,test_loic.csv,normal
1933,3.810105,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1835338 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1934,3.810116,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1836790 Win=2102272 Len=0,test_loic.csv,normal
1935,3.810217,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1836790 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942]",test_loic.csv,normal
1936,3.811238,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1838242 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1937,3.811261,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1839694 Win=2102272 Len=0,test_loic.csv,normal
1938,3.811313,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1839694 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1939,3.811327,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1841146 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942],test_loic.csv,normal
1940,3.811336,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1842598 Win=2102272 Len=0,test_loic.csv,normal
1941,3.811343,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1842598 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1942]",test_loic.csv,normal
1942,3.812223,185.188.41.131,192.168.1.192,TLSv1.3,1506,Application Data,test_loic.csv,normal
1943,3.812233,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1845502 Win=2102272 Len=0,test_loic.csv,normal
1944,3.812351,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1845502 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1945,3.812844,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1846954 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1946,3.812872,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1848406 Win=2102272 Len=0,test_loic.csv,normal
1947,3.812948,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1848406 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1948,3.812948,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1849858 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1949,3.812978,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1851310 Win=2102272 Len=0,test_loic.csv,normal
1950,3.812993,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1851310 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959]",test_loic.csv,normal
1951,3.813943,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1852762 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1952,3.813943,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1854214 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959]",test_loic.csv,normal
1953,3.813979,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1855666 Win=2102272 Len=0,test_loic.csv,normal
1954,3.814045,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1855666 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1955,3.814045,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1857118 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959]",test_loic.csv,normal
1956,3.814062,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1858570 Win=2102272 Len=0,test_loic.csv,normal
1957,3.815095,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1858570 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1959],test_loic.csv,normal
1958,3.815114,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1860022 Win=2102272 Len=0,test_loic.csv,normal
1959,3.815193,185.188.41.131,192.168.1.192,TLSv1.3,1506,"Application Data, Application Data, Application Data, Application Data",test_loic.csv,normal
1960,3.835988,185.188.41.131,192.168.1.192,TLSv1.3,129,"Application Data, Application Data, Application Data",test_loic.csv,normal
1961,3.836041,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1861549 Win=2102272 Len=0,test_loic.csv,normal
1962,3.90959,192.168.1.192,149.154.167.51,SSL,223,Continuation Data,test_loic.csv,botnet_slowloic
1963,3.984614,149.154.167.51,192.168.1.192,SSL,143,Continuation Data,test_loic.csv,botnet_slowloic
1964,4.028976,192.168.1.192,149.154.167.51,TCP,54,57728  >  443 [ACK] Seq=170 Ack=90 Win=2053 Len=0,test_loic.csv,botnet_slowloic
1965,6.031231,192.168.1.192,20.190.97.11,TCP,54,"61615  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0",test_loic.csv,botnet_slowloic
1966,6.843028,192.168.1.192,20.50.73.13,TLSv1.2,139,Application Data,test_loic.csv,normal
1967,6.843098,192.168.1.192,20.50.73.13,TLSv1.2,93,Application Data,test_loic.csv,normal
1968,6.84312,192.168.1.192,20.50.73.13,TLSv1.2,854,Application Data,test_loic.csv,normal
1969,6.934028,20.50.73.13,192.168.1.192,TCP,60,443  >  50564 [ACK] Seq=1 Ack=925 Win=16382 Len=0,test_loic.csv,botnet_slowloic
1970,6.93411,20.50.73.13,192.168.1.192,TLSv1.2,93,Application Data,test_loic.csv,normal
1971,6.983018,192.168.1.192,20.50.73.13,TCP,54,50564  >  443 [ACK] Seq=925 Ack=40 Win=1025 Len=0,test_loic.csv,normal
1972,7.074152,20.50.73.13,192.168.1.192,TLSv1.2,154,Application Data,test_loic.csv,normal
1973,7.074684,192.168.1.192,20.50.73.13,TLSv1.2,89,Application Data,test_loic.csv,normal
1974,7.211363,20.50.73.13,192.168.1.192,TCP,60,443  >  50564 [ACK] Seq=140 Ack=960 Win=16382 Len=0,test_loic.csv,botnet_tcp
1975,7.495735,192.168.1.192,5.255.255.77,TLSv1.2,159,Application Data,test_loic.csv,normal
1976,7.495767,192.168.1.192,5.255.255.77,TLSv1.2,613,Application Data,test_loic.csv,normal
1977,7.530195,5.255.255.77,192.168.1.192,TCP,60,443  >  59123 [ACK] Seq=184 Ack=1329 Win=2371 Len=0,test_loic.csv,botnet_slowloic
1978,7.530374,5.255.255.77,192.168.1.192,TLSv1.2,89,Application Data,test_loic.csv,normal
1979,7.542181,5.255.255.77,192.168.1.192,TLSv1.2,321,Application Data,test_loic.csv,normal
1980,7.542374,192.168.1.192,5.255.255.77,TCP,54,59123  >  443 [ACK] Seq=1329 Ack=486 Win=1021 Len=0,test_loic.csv,botnet_slowloic
1981,7.544068,192.168.1.192,5.255.255.77,TLSv1.2,89,Application Data,test_loic.csv,normal
1982,7.618566,5.255.255.77,192.168.1.192,TCP,60,443  >  59123 [ACK] Seq=486 Ack=1364 Win=2371 Len=0,test_loic.csv,botnet_slowloic
1983,8.306551,192.168.1.192,20.50.73.11,TCP,55,50963  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP PDU reassembled in 3341],test_loic.csv,botnet_tcp
1984,8.39299,20.50.73.11,192.168.1.192,TCP,66,443  >  50963 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2,test_loic.csv,botnet_slowloic
1985,9.127896,192.168.1.192,80.239.137.171,TCP,54,"61825  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",test_loic.csv,botnet_slowloic
1986,9.142896,192.168.1.192,20.42.73.28,TCP,54,"61828  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",test_loic.csv,botnet_slowloic
1987,10.449918,3.229.99.131,192.168.1.192,TLSv1.2,85,Application Data,test_loic.csv,normal
1988,10.451351,192.168.1.192,3.229.99.131,TLSv1.2,89,Application Data,test_loic.csv,normal
1989,10.451931,192.168.1.192,3.229.99.131,TLSv1.2,89,Application Data,test_loic.csv,normal
1990,10.605449,3.229.99.131,192.168.1.192,TCP,60,443  >  57688 [ACK] Seq=32 Ack=36 Win=164 Len=0,test_loic.csv,botnet_slowloic
